Timestamp,What is your age group?  ,What is your gender?  ,What is your education level?,How many hours do you use your mobile phone daily?  ,What is your main purpose for using a mobile phone?  ,How often do you check your phone in a day?  ,Do you check your phone immediately after waking up?  ,How often do you use your phone before sleeping?  ,Do you feel anxious without your phone?  ,How often do you feel distracted by your phone while studying?  ,Do you use your phone during class/lecture?  ,Do you think you are addicted to your phone?  ,Has phone usage affected your sleep?  ,Has mobile phone usage affected your academic performance?  ,How often do you try to reduce your phone usage?  ,Which app do you use the most?  ,Do you feel you waste time on your phone?  ,How often do you use your phone while eating?  ,I feel uncomfortable when my phone battery is low.  ,I prefer online communication over face-to-face interaction.  ,I spend a lot of time on social media.  ,I use my phone for productive purposes such as study or work.,I would like to reduce my mobile phone usage.,What problems do you face due to excessive use of mobile phones?
10/04/2026 12:10:47,18–21,Female,University student,More than 6 hours,Social media,More than 60 times,Always,Every day,Sometimes,Often,Rarely,No,Sometimes,No effect,Often,Social media,Yes,Sometimes,No,No,More than 5 hours,Sometimes,Yes,
14/04/2026 12:21:40,21–25,Prefer not to say,University student,More than 6 hours,Social media,More than 60 times,Never,Every day,No,Always,Sometimes,,Yes,Negatively,Sometimes,Social media,Sometimes,Always,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Bad sleep cycle
14/04/2026 12:23:50,18–21,Female,University student,More than 6 hours,Studies,10–30 times,Always,Every day,Sometimes,Often,Rarely,Maybe,Sometimes,Positively,Often,Social media,Yes,Sometimes,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,"Fatigue
"
14/04/2026 13:32:21,15–18,Male,University student,4–6 hours,Communication,10–30 times,Sometimes,Sometimes,No,Often,Always,Maybe,,No effect,Sometimes,Social media,No,Often,Neutral,Neutral,Neutral,Neutral,Neutral,
14/04/2026 13:37:32,18–21,Male,University student,Less than 2 hours,Communication,Less than 10 times,Never,Sometimes,No,Never,Always,No,No,No effect,Never,Educational apps,No,Never,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,.
14/04/2026 13:42:39,18–21,Female,University student,2–4 hours,Communication,30–60 times,Rarely,Often,Sometimes,Sometimes,Sometimes,Yes,No,Positively,Sometimes,Educational apps,Sometimes,Always,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Heheheheheh
14/04/2026 13:45:03,18–21,Female,University student,More than 6 hours,Social media,More than 60 times,Always,Every day,Yes,Always,Always,Yes,Yes,Positively,Sometimes,Social media,Yes,Always,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Distraction 
14/04/2026 13:52:14,21–25,Female,University student,2–4 hours,Communication,10–30 times,Always,Every day,Sometimes,Sometimes,Sometimes,Maybe,Yes,No effect,Sometimes,Educational apps,Yes,Never,Neutral,Disagree,Strongly Disagree,Agree,Strongly Agree,
15/04/2026 00:15:44,18–21,Female,University student,4–6 hours,Social media,30–60 times,Always,Every day,Sometimes,Always,Always,Yes,No,No effect,Sometimes,Social media,Yes,Always,Agree,Disagree,Agree,Neutral,Agree,Lack of focus
15/04/2026 08:26:03,21–25,Male,University student,More than 6 hours,Social media,10–30 times,Always,Every day,Sometimes,Sometimes,Rarely,Maybe,Yes,No effect,Sometimes,Social media,Yes,Sometimes,Agree,Agree,Agree,Agree,Agree,Less productivity 
15/04/2026 09:56:16,18–21,Male,College student,2–4 hours,Social media,10–30 times,Sometimes,Often,Sometimes,Often,Rarely,Maybe,Yes,Negatively,Sometimes,Social media,Yes,Sometimes,Strongly Agree,Neutral,Agree,Neutral,Neutral,Lazyness
15/04/2026 10:22:32,18–21,Female,University student,More than 6 hours,Social media,10–30 times,Always,Every day,No,Always,Rarely,Yes,Sometimes,No effect,Rarely,Social media,Yes,Never,Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,
15/04/2026 10:26:50,15–18,Prefer not to say,College student,4–6 hours,Studies,30–60 times,Sometimes,Every day,Sometimes,Never,Sometimes,Maybe,No,Positively,Sometimes,Educational apps,Sometimes,Always,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,
15/04/2026 10:27:39,15–18,Male,School student,Less than 2 hours,Social media,Less than 10 times,Always,Every day,Yes,Always,Always,Yes,Yes,Negatively,Often,Social media,Yes,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,
15/04/2026 10:30:53,15–18,Male,School student,Less than 2 hours,Studies,Less than 10 times,Rarely,Often,Yes,Never,Never,No,Sometimes,Negatively,Rarely,Games,No,Often,Strongly Disagree,Agree,Disagree,Disagree,Disagree,
15/04/2026 13:20:17,18–21,Male,College student,4–6 hours,Social media,10–30 times,Sometimes,Often,Sometimes,Sometimes,Rarely,Maybe,No,Negatively,Sometimes,Social media,Sometimes,Always,Neutral,Disagree,Neutral,Strongly Agree,Neutral,
15/04/2026 13:45:06,21–25,Female,University student,More than 6 hours,Social media,More than 60 times,Always,Every day,Yes,Always,Always,Yes,Yes,Negatively,Sometimes,Social media,Yes,Always,Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Sleep poor concentration and irritated 
15/04/2026 13:52:32,21–25,Female,University student,4–6 hours,Social media,30–60 times,Sometimes,Every day,Sometimes,Often,Sometimes,Yes,,Positively,Rarely,Social media,Yes,Always,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,
15/04/2026 13:54:48,18–21,Female,College student,2–4 hours,Studies,10–30 times,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Maybe,No,No effect,Rarely,Educational apps,Sometimes,Sometimes,Disagree,Disagree,Neutral,Neutral,Agree,
15/04/2026 13:56:04,21–25,Female,University student,More than 6 hours,Social media,10–30 times,Sometimes,Sometimes,Sometimes,Always,Never,No,No,Negatively,Rarely,Social media,Sometimes,Sometimes,Disagree,Agree,Agree,Neutral,Neutral,"Kuch khas nhi , sab thk hai bas chal rha ha"
15/04/2026 14:03:42,18–21,Male,College student,2–4 hours,Social media,10–30 times,Sometimes,Often,Sometimes,Often,Rarely,Maybe,Sometimes,Negatively,Often,Social media,Yes,Often,Neutral,Neutral,Agree,Agree,Neutral,
15/04/2026 14:03:43,21–25,Female,University student,More than 6 hours,Gaming,More than 60 times,Sometimes,Every day,Yes,Often,Sometimes,Yes,Yes,Negatively,Sometimes,Games,Yes,Sometimes,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Usually headache and dizziness and I feel pretty anxious after doom scrolling and going through several reels that effects my mental health a lot. 
15/04/2026 14:27:44,18–21,Male,College student,2–4 hours,Social media,10–30 times,Sometimes,Every day,Sometimes,Sometimes,Rarely,No,No,No effect,Sometimes,Social media,No,Sometimes,Neutral,Neutral,Neutral,Agree,Agree,No problem 
15/04/2026 14:32:53,21–25,Female,University student,2–4 hours,Social media,10–30 times,Always,Every day,No,Always,Rarely,No,Sometimes,Positively,Often,Social media,Yes,Often,Neutral,Disagree,Neutral,Strongly Agree,Agree,Time waste
15/04/2026 17:03:13,15–18,Male,School student,More than 6 hours,Communication,More than 60 times,Rarely,Sometimes,No,Never,Rarely,Maybe,No,No effect,Rarely,Others,Sometimes,Never,Disagree,Disagree,Disagree,Disagree,Disagree,
15/04/2026 22:25:58,18–21,Female,College student,4–6 hours,Gaming,30–60 times,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Maybe,Sometimes,Positively,Rarely,Games,Sometimes,Sometimes,Neutral,Disagree,Disagree,Disagree,Disagree,
17/04/2026 13:08:53,18–21,Female,University student,More than 6 hours,Social media,30–60 times,Always,Every day,Yes,Sometimes,Sometimes,Maybe,Yes,No effect,Rarely,Social media,Sometimes,Often,Neutral,Disagree,Agree,Neutral,Agree,sleep problems
17/04/2026 13:10:23,,,,,,,,,,,,,,,,,,,,,,,,
17/04/2026 13:19:34,18–21,Female,University student,More than 6 hours,Social media,30–60 times,Never,Every day,Yes,Always,Sometimes,Maybe,Sometimes,Negatively,Sometimes,Social media,Yes,Always,Agree,Agree,Agree,Agree,Agree,
17/04/2026 13:23:00,18–21,Female,University student,More than 6 hours,Social media,30–60 times,Always,Every day,Yes,Sometimes,Sometimes,Yes,Sometimes,Positively,Sometimes,Social media,Sometimes,Sometimes,Agree,Neutral,Agree,Neutral,Agree,
17/04/2026 13:31:00,18–21,Female,University student,4–6 hours,Social media,Less than 10 times,Rarely,Often,No,Sometimes,Never,Maybe,Yes,No effect,Sometimes,Social media,Yes,Never,Strongly Agree,Disagree,Agree,Neutral,Strongly Agree,Irregular sleep cycle 
17/04/2026 13:32:12,18–21,Female,University student,4–6 hours,Studies,10–30 times,Sometimes,Sometimes,Sometimes,Often,Sometimes,Maybe,Sometimes,Positively,Sometimes,Educational apps,Sometimes,Sometimes,Agree,Neutral,Neutral,Agree,Neutral,Dark circles 
